year,level_1,level_2,level_3,level_4,value
2015,Total,Total,"Total","Public Bus Only",353.6
2015,Total,Total,"Total","MRT Only",257.7
2015,Total,Total,"Total","MRT & Public Bus Only",533.4
2015,Total,Total,"Total","Other Combinations Of MRT Or Public Bus",115.5
2015,Total,Total,"Total","Taxi Only",28.4
2015,Total,Total,"Total","Car Only",470
2015,Total,Total,"Total","Private Chartered Bus/Van Only",58.3
2015,Total,Total,"Total","Lorry/Pickup Only",42.8
2015,Total,Total,"Total","Motorcycle/Scooter Only",73.2
2015,Total,Total,"Total","Others",32.1
2015,Total,Total,"Total","No Transport Required",182.7
2015,Total,Manufacturing,"Total","Public Bus Only",39.9
2015,Total,Manufacturing,"Total","MRT Only",13.9
2015,Total,Manufacturing,"Total","MRT & Public Bus Only",45.3
2015,Total,Manufacturing,"Total","Other Combinations Of MRT Or Public Bus",17.7
2015,Total,Manufacturing,"Total","Taxi Only",1
2015,Total,Manufacturing,"Total","Car Only",66.8
2015,Total,Manufacturing,"Total","Private Chartered Bus/Van Only",20.7
2015,Total,Manufacturing,"Total","Lorry/Pickup Only",6.4
2015,Total,Manufacturing,"Total","Motorcycle/Scooter Only",11.8
2015,Total,Manufacturing,"Total","Others",5.3
2015,Total,Manufacturing,"Total","No Transport Required",9.9
2015,Total,Construction,"Total","Public Bus Only",11.8
2015,Total,Construction,"Total","MRT Only",7.8
2015,Total,Construction,"Total","MRT & Public Bus Only",20.2
2015,Total,Construction,"Total","Other Combinations Of MRT Or Public Bus",3
2015,Total,Construction,"Total","Taxi Only",0.6
2015,Total,Construction,"Total","Car Only",37.4
2015,Total,Construction,"Total","Private Chartered Bus/Van Only",3.4
2015,Total,Construction,"Total","Lorry/Pickup Only",12.2
2015,Total,Construction,"Total","Motorcycle/Scooter Only",5.6
2015,Total,Construction,"Total","Others",1.8
2015,Total,Construction,"Total","No Transport Required",6.7
2015,Total,Services- Total,"Total","Public Bus Only",299.3
2015,Total,Services- Total,"Total","MRT Only",234.2
2015,Total,Services- Total,"Total","MRT & Public Bus Only",462.8
2015,Total,Services- Total,"Total","Other Combinations Of MRT Or Public Bus",92.7
2015,Total,Services- Total,"Total","Taxi Only",26.7
2015,Total,Services- Total,"Total","Car Only",360
2015,Total,Services- Total,"Total","Private Chartered Bus/Van Only",33.6
2015,Total,Services- Total,"Total","Lorry/Pickup Only",23.1
2015,Total,Services- Total,"Total","Motorcycle/Scooter Only",53.8
2015,Total,Services- Total,"Total","Others",24.1
2015,Total,Services- Total,"Total","No Transport Required",165.1
2015,Total,Services- Wholesale & Retail Trade,"Total","Public Bus Only",56
2015,Total,Services- Wholesale & Retail Trade,"Total","MRT Only",38.3
2015,Total,Services- Wholesale & Retail Trade,"Total","MRT & Public Bus Only",83
2015,Total,Services- Wholesale & Retail Trade,"Total","Other Combinations Of MRT Or Public Bus",18
2015,Total,Services- Wholesale & Retail Trade,"Total","Taxi Only",2.6
2015,Total,Services- Wholesale & Retail Trade,"Total","Car Only",95.3
2015,Total,Services- Wholesale & Retail Trade,"Total","Private Chartered Bus/Van Only",11.5
2015,Total,Services- Wholesale & Retail Trade,"Total","Lorry/Pickup Only",11.2
2015,Total,Services- Wholesale & Retail Trade,"Total","Motorcycle/Scooter Only",8.6
2015,Total,Services- Wholesale & Retail Trade,"Total","Others",5.2
2015,Total,Services- Wholesale & Retail Trade,"Total","No Transport Required",34.4
2015,Total,Services- Transportation & Storage,"Total","Public Bus Only",27.3
2015,Total,Services- Transportation & Storage,"Total","MRT Only",13.6
2015,Total,Services- Transportation & Storage,"Total","MRT & Public Bus Only",28.1
2015,Total,Services- Transportation & Storage,"Total","Other Combinations Of MRT Or Public Bus",8.8
2015,Total,Services- Transportation & Storage,"Total","Taxi Only",8.5
2015,Total,Services- Transportation & Storage,"Total","Car Only",26.9
2015,Total,Services- Transportation & Storage,"Total","Private Chartered Bus/Van Only",8.4
2015,Total,Services- Transportation & Storage,"Total","Lorry/Pickup Only",4.7
2015,Total,Services- Transportation & Storage,"Total","Motorcycle/Scooter Only",12.4
2015,Total,Services- Transportation & Storage,"Total","Others",3.9
2015,Total,Services- Transportation & Storage,"Total","No Transport Required",45.1
2015,Total,Services- Accommodation & Food Services,"Total","Public Bus Only",38.3
2015,Total,Services- Accommodation & Food Services,"Total","MRT Only",19.9
2015,Total,Services- Accommodation & Food Services,"Total","MRT & Public Bus Only",33
2015,Total,Services- Accommodation & Food Services,"Total","Other Combinations Of MRT Or Public Bus",5.2
2015,Total,Services- Accommodation & Food Services,"Total","Taxi Only",2.8
2015,Total,Services- Accommodation & Food Services,"Total","Car Only",14.1
2015,Total,Services- Accommodation & Food Services,"Total","Private Chartered Bus/Van Only",1
2015,Total,Services- Accommodation & Food Services,"Total","Lorry/Pickup Only",1.6
2015,Total,Services- Accommodation & Food Services,"Total","Motorcycle/Scooter Only",4
2015,Total,Services- Accommodation & Food Services,"Total","Others",2.8
2015,Total,Services- Accommodation & Food Services,"Total","No Transport Required",16.3
2015,Total,Services- Information & Communications,"Total","Public Bus Only",10.8
2015,Total,Services- Information & Communications,"Total","MRT Only",12.2
2015,Total,Services- Information & Communications,"Total","MRT & Public Bus Only",27.8
2015,Total,Services- Information & Communications,"Total","Other Combinations Of MRT Or Public Bus",5.4
2015,Total,Services- Information & Communications,"Total","Taxi Only",1.7
2015,Total,Services- Information & Communications,"Total","Car Only",17.3
2015,Total,Services- Information & Communications,"Total","Private Chartered Bus/Van Only",0.8
2015,Total,Services- Information & Communications,"Total","Lorry/Pickup Only",0.1
2015,Total,Services- Information & Communications,"Total","Motorcycle/Scooter Only",1.5
2015,Total,Services- Information & Communications,"Total","Others",0.4
2015,Total,Services- Information & Communications,"Total","No Transport Required",5.5
2015,Total,Services- Financial & Insurance Services,"Total","Public Bus Only",17.7
2015,Total,Services- Financial & Insurance Services,"Total","MRT Only",39
2015,Total,Services- Financial & Insurance Services,"Total","MRT & Public Bus Only",48.5
2015,Total,Services- Financial & Insurance Services,"Total","Other Combinations Of MRT Or Public Bus",12.3
2015,Total,Services- Financial & Insurance Services,"Total","Taxi Only",2.7
2015,Total,Services- Financial & Insurance Services,"Total","Car Only",35.9
2015,Total,Services- Financial & Insurance Services,"Total","Private Chartered Bus/Van Only",2.1
2015,Total,Services- Financial & Insurance Services,"Total","Lorry/Pickup Only",0.3
2015,Total,Services- Financial & Insurance Services,"Total","Motorcycle/Scooter Only",3
2015,Total,Services- Financial & Insurance Services,"Total","Others",1.4
2015,Total,Services- Financial & Insurance Services,"Total","No Transport Required",4.4
2015,Total,Services- Real Estate Services,"Total","Public Bus Only",8.8
2015,Total,Services- Real Estate Services,"Total","MRT Only",6.6
2015,Total,Services- Real Estate Services,"Total","MRT & Public Bus Only",14.6
2015,Total,Services- Real Estate Services,"Total","Other Combinations Of MRT Or Public Bus",3.1
2015,Total,Services- Real Estate Services,"Total","Taxi Only",0.4
2015,Total,Services- Real Estate Services,"Total","Car Only",14.7
2015,Total,Services- Real Estate Services,"Total","Private Chartered Bus/Van Only",0.3
2015,Total,Services- Real Estate Services,"Total","Lorry/Pickup Only",0.2
2015,Total,Services- Real Estate Services,"Total","Motorcycle/Scooter Only",1.5
2015,Total,Services- Real Estate Services,"Total","Others",0.8
2015,Total,Services- Real Estate Services,"Total","No Transport Required",4.2
2015,Total,Services- Professional Services,"Total","Public Bus Only",17.2
2015,Total,Services- Professional Services,"Total","MRT Only",29.6
2015,Total,Services- Professional Services,"Total","MRT & Public Bus Only",48.7
2015,Total,Services- Professional Services,"Total","Other Combinations Of MRT Or Public Bus",9.6
2015,Total,Services- Professional Services,"Total","Taxi Only",2.1
2015,Total,Services- Professional Services,"Total","Car Only",39.6
2015,Total,Services- Professional Services,"Total","Private Chartered Bus/Van Only",2.4
2015,Total,Services- Professional Services,"Total","Lorry/Pickup Only",1.6
2015,Total,Services- Professional Services,"Total","Motorcycle/Scooter Only",3.5
2015,Total,Services- Professional Services,"Total","Others",0.9
2015,Total,Services- Professional Services,"Total","No Transport Required",11.1
2015,Total,Services- Administrative & Support Services,"Total","Public Bus Only",29.1
2015,Total,Services- Administrative & Support Services,"Total","MRT Only",16
2015,Total,Services- Administrative & Support Services,"Total","MRT & Public Bus Only",29.5
2015,Total,Services- Administrative & Support Services,"Total","Other Combinations Of MRT Or Public Bus",3.4
2015,Total,Services- Administrative & Support Services,"Total","Taxi Only",0.4
2015,Total,Services- Administrative & Support Services,"Total","Car Only",12.5
2015,Total,Services- Administrative & Support Services,"Total","Private Chartered Bus/Van Only",2
2015,Total,Services- Administrative & Support Services,"Total","Lorry/Pickup Only",2.2
2015,Total,Services- Administrative & Support Services,"Total","Motorcycle/Scooter Only",4.7
2015,Total,Services- Administrative & Support Services,"Total","Others",3.5
2015,Total,Services- Administrative & Support Services,"Total","No Transport Required",8.3
2015,Total,Services- Public Administration & Education,"Total","Public Bus Only",51.3
2015,Total,Services- Public Administration & Education,"Total","MRT Only",29
2015,Total,Services- Public Administration & Education,"Total","MRT & Public Bus Only",88.4
2015,Total,Services- Public Administration & Education,"Total","Other Combinations Of MRT Or Public Bus",15.6
2015,Total,Services- Public Administration & Education,"Total","Taxi Only",3
2015,Total,Services- Public Administration & Education,"Total","Car Only",70.9
2015,Total,Services- Public Administration & Education,"Total","Private Chartered Bus/Van Only",2.4
2015,Total,Services- Public Administration & Education,"Total","Lorry/Pickup Only",0.3
2015,Total,Services- Public Administration & Education,"Total","Motorcycle/Scooter Only",9.8
2015,Total,Services- Public Administration & Education,"Total","Others",3.2
2015,Total,Services- Public Administration & Education,"Total","No Transport Required",16.9
2015,Total,Services- Health & Social Services,"Total","Public Bus Only",21.7
2015,Total,Services- Health & Social Services,"Total","MRT Only",15.6
2015,Total,Services- Health & Social Services,"Total","MRT & Public Bus Only",29.9
2015,Total,Services- Health & Social Services,"Total","Other Combinations Of MRT Or Public Bus",6.2
2015,Total,Services- Health & Social Services,"Total","Taxi Only",0.8
2015,Total,Services- Health & Social Services,"Total","Car Only",16.9
2015,Total,Services- Health & Social Services,"Total","Private Chartered Bus/Van Only",1.1
2015,Total,Services- Health & Social Services,"Total","Lorry/Pickup Only",0
2015,Total,Services- Health & Social Services,"Total","Motorcycle/Scooter Only",1.4
2015,Total,Services- Health & Social Services,"Total","Others",1
2015,Total,Services- Health & Social Services,"Total","No Transport Required",11.1
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Public Bus Only",6.9
2015,Total,"Services- Arts, Entertainment & Recreation","Total","MRT Only",6.9
2015,Total,"Services- Arts, Entertainment & Recreation","Total","MRT & Public Bus Only",12.2
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Other Combinations Of MRT Or Public Bus",2.8
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Taxi Only",0.6
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Car Only",4
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Private Chartered Bus/Van Only",0.3
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Lorry/Pickup Only",0
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Motorcycle/Scooter Only",1.3
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Others",0.5
2015,Total,"Services- Arts, Entertainment & Recreation","Total","No Transport Required",1.5
2015,Total,"Services- Other Community, Social & Personal Services","Total","Public Bus Only",14.2
2015,Total,"Services- Other Community, Social & Personal Services","Total","MRT Only",7.7
2015,Total,"Services- Other Community, Social & Personal Services","Total","MRT & Public Bus Only",19.2
2015,Total,"Services- Other Community, Social & Personal Services","Total","Other Combinations Of MRT Or Public Bus",2.3
2015,Total,"Services- Other Community, Social & Personal Services","Total","Taxi Only",1
2015,Total,"Services- Other Community, Social & Personal Services","Total","Car Only",11.8
2015,Total,"Services- Other Community, Social & Personal Services","Total","Private Chartered Bus/Van Only",1.3
2015,Total,"Services- Other Community, Social & Personal Services","Total","Lorry/Pickup Only",0.7
2015,Total,"Services- Other Community, Social & Personal Services","Total","Motorcycle/Scooter Only",2
2015,Total,"Services- Other Community, Social & Personal Services","Total","Others",0.6
2015,Total,"Services- Other Community, Social & Personal Services","Total","No Transport Required",6.4
2015,Total,Others,"Total","Public Bus Only",2.6
2015,Total,Others,"Total","MRT Only",1.9
2015,Total,Others,"Total","MRT & Public Bus Only",5.1
2015,Total,Others,"Total","Other Combinations Of MRT Or Public Bus",2.1
2015,Total,Others,"Total","Taxi Only",0.1
2015,Total,Others,"Total","Car Only",5.8
2015,Total,Others,"Total","Private Chartered Bus/Van Only",0.5
2015,Total,Others,"Total","Lorry/Pickup Only",1.1
2015,Total,Others,"Total","Motorcycle/Scooter Only",2
2015,Total,Others,"Total","Others",0.8
2015,Total,Others,"Total","No Transport Required",1.1
2015,Males,Total,"Total","Public Bus Only",155.3
2015,Males,Total,"Total","MRT Only",110.4
2015,Males,Total,"Total","MRT & Public Bus Only",252.2
2015,Males,Total,"Total","Other Combinations Of MRT Or Public Bus",58.2
2015,Males,Total,"Total","Taxi Only",15
2015,Males,Total,"Total","Car Only",319.5
2015,Males,Total,"Total","Private Chartered Bus/Van Only",37
2015,Males,Total,"Total","Lorry/Pickup Only",38.4
2015,Males,Total,"Total","Motorcycle/Scooter Only",68.7
2015,Males,Total,"Total","Others",22.8
2015,Males,Total,"Total","No Transport Required",94.3
2015,Males,Manufacturing,"Total","Public Bus Only",20.7
2015,Males,Manufacturing,"Total","MRT Only",7.7
2015,Males,Manufacturing,"Total","MRT & Public Bus Only",25.8
2015,Males,Manufacturing,"Total","Other Combinations Of MRT Or Public Bus",10.4
2015,Males,Manufacturing,"Total","Taxi Only",0.4
2015,Males,Manufacturing,"Total","Car Only",50.4
2015,Males,Manufacturing,"Total","Private Chartered Bus/Van Only",13.1
2015,Males,Manufacturing,"Total","Lorry/Pickup Only",5.7
2015,Males,Manufacturing,"Total","Motorcycle/Scooter Only",11.1
2015,Males,Manufacturing,"Total","Others",4.1
2015,Males,Manufacturing,"Total","No Transport Required",4.3
2015,Males,Construction,"Total","Public Bus Only",5.6
2015,Males,Construction,"Total","MRT Only",4.6
2015,Males,Construction,"Total","MRT & Public Bus Only",13.3
2015,Males,Construction,"Total","Other Combinations Of MRT Or Public Bus",2.2
2015,Males,Construction,"Total","Taxi Only",0.4
2015,Males,Construction,"Total","Car Only",29.5
2015,Males,Construction,"Total","Private Chartered Bus/Van Only",3
2015,Males,Construction,"Total","Lorry/Pickup Only",11.9
2015,Males,Construction,"Total","Motorcycle/Scooter Only",5.5
2015,Males,Construction,"Total","Others",1.6
2015,Males,Construction,"Total","No Transport Required",3
2015,Males,Services- Total,"Total","Public Bus Only",127.6
2015,Males,Services- Total,"Total","MRT Only",97.1
2015,Males,Services- Total,"Total","MRT & Public Bus Only",209.9
2015,Males,Services- Total,"Total","Other Combinations Of MRT Or Public Bus",44.4
2015,Males,Services- Total,"Total","Taxi Only",14.1
2015,Males,Services- Total,"Total","Car Only",234.6
2015,Males,Services- Total,"Total","Private Chartered Bus/Van Only",20.6
2015,Males,Services- Total,"Total","Lorry/Pickup Only",19.8
2015,Males,Services- Total,"Total","Motorcycle/Scooter Only",50.1
2015,Males,Services- Total,"Total","Others",16.5
2015,Males,Services- Total,"Total","No Transport Required",86.4
2015,Males,Services- Wholesale & Retail Trade,"Total","Public Bus Only",22.2
2015,Males,Services- Wholesale & Retail Trade,"Total","MRT Only",14.4
2015,Males,Services- Wholesale & Retail Trade,"Total","MRT & Public Bus Only",32.2
2015,Males,Services- Wholesale & Retail Trade,"Total","Other Combinations Of MRT Or Public Bus",7.6
2015,Males,Services- Wholesale & Retail Trade,"Total","Taxi Only",1.4
2015,Males,Services- Wholesale & Retail Trade,"Total","Car Only",65.5
2015,Males,Services- Wholesale & Retail Trade,"Total","Private Chartered Bus/Van Only",7.4
2015,Males,Services- Wholesale & Retail Trade,"Total","Lorry/Pickup Only",9.4
2015,Males,Services- Wholesale & Retail Trade,"Total","Motorcycle/Scooter Only",8.2
2015,Males,Services- Wholesale & Retail Trade,"Total","Others",3.5
2015,Males,Services- Wholesale & Retail Trade,"Total","No Transport Required",13.3
2015,Males,Services- Transportation & Storage,"Total","Public Bus Only",17.7
2015,Males,Services- Transportation & Storage,"Total","MRT Only",8.2
2015,Males,Services- Transportation & Storage,"Total","MRT & Public Bus Only",17.2
2015,Males,Services- Transportation & Storage,"Total","Other Combinations Of MRT Or Public Bus",5.3
2015,Males,Services- Transportation & Storage,"Total","Taxi Only",6
2015,Males,Services- Transportation & Storage,"Total","Car Only",20.5
2015,Males,Services- Transportation & Storage,"Total","Private Chartered Bus/Van Only",5.5
2015,Males,Services- Transportation & Storage,"Total","Lorry/Pickup Only",4.5
2015,Males,Services- Transportation & Storage,"Total","Motorcycle/Scooter Only",12.2
2015,Males,Services- Transportation & Storage,"Total","Others",3.2
2015,Males,Services- Transportation & Storage,"Total","No Transport Required",41.3
2015,Males,Services- Accommodation & Food Services,"Total","Public Bus Only",14.6
2015,Males,Services- Accommodation & Food Services,"Total","MRT Only",8
2015,Males,Services- Accommodation & Food Services,"Total","MRT & Public Bus Only",15
2015,Males,Services- Accommodation & Food Services,"Total","Other Combinations Of MRT Or Public Bus",2.1
2015,Males,Services- Accommodation & Food Services,"Total","Taxi Only",1.4
2015,Males,Services- Accommodation & Food Services,"Total","Car Only",8.2
2015,Males,Services- Accommodation & Food Services,"Total","Private Chartered Bus/Van Only",0.7
2015,Males,Services- Accommodation & Food Services,"Total","Lorry/Pickup Only",0.9
2015,Males,Services- Accommodation & Food Services,"Total","Motorcycle/Scooter Only",3.4
2015,Males,Services- Accommodation & Food Services,"Total","Others",1.1
2015,Males,Services- Accommodation & Food Services,"Total","No Transport Required",5.6
2015,Males,Services- Information & Communications,"Total","Public Bus Only",5.1
2015,Males,Services- Information & Communications,"Total","MRT Only",7
2015,Males,Services- Information & Communications,"Total","MRT & Public Bus Only",15.9
2015,Males,Services- Information & Communications,"Total","Other Combinations Of MRT Or Public Bus",3.5
2015,Males,Services- Information & Communications,"Total","Taxi Only",0.7
2015,Males,Services- Information & Communications,"Total","Car Only",12.9
2015,Males,Services- Information & Communications,"Total","Private Chartered Bus/Van Only",0.7
2015,Males,Services- Information & Communications,"Total","Lorry/Pickup Only",0.1
2015,Males,Services- Information & Communications,"Total","Motorcycle/Scooter Only",1.5
2015,Males,Services- Information & Communications,"Total","Others",0.3
2015,Males,Services- Information & Communications,"Total","No Transport Required",3.1
2015,Males,Services- Financial & Insurance Services,"Total","Public Bus Only",7
2015,Males,Services- Financial & Insurance Services,"Total","MRT Only",15.8
2015,Males,Services- Financial & Insurance Services,"Total","MRT & Public Bus Only",19.9
2015,Males,Services- Financial & Insurance Services,"Total","Other Combinations Of MRT Or Public Bus",5.3
2015,Males,Services- Financial & Insurance Services,"Total","Taxi Only",1.3
2015,Males,Services- Financial & Insurance Services,"Total","Car Only",21.5
2015,Males,Services- Financial & Insurance Services,"Total","Private Chartered Bus/Van Only",1
2015,Males,Services- Financial & Insurance Services,"Total","Lorry/Pickup Only",0.3
2015,Males,Services- Financial & Insurance Services,"Total","Motorcycle/Scooter Only",2.7
2015,Males,Services- Financial & Insurance Services,"Total","Others",1
2015,Males,Services- Financial & Insurance Services,"Total","No Transport Required",2.7
2015,Males,Services- Real Estate Services,"Total","Public Bus Only",3.5
2015,Males,Services- Real Estate Services,"Total","MRT Only",2.6
